,model,dataset,id,CHOTA,HOTA,SEG,TRA,DET,idp,idr,idf1,mota,motp,num_switches,num_unique_objects,num_frames,num_instances,weights_x,normalized_length,normalized_instances,weights_y,normalized_weights
10,DREEM,DynamicNuclearNet (cell nuclei) - Fluorescence,test_10,0.9150137723109316,0.9150137723109316,0.9869995523268248,0.997538434488291,1.0,0.9164779874213836,0.9164779874213836,0.9164779874213836,0.9881761006289308,1.0,47.0,120.0,45,120,0.2575536331298656,0.02330398757120663,0.4918032786885246,8.625241953969319,0.029860453133299058
11,DREEM,DynamicNuclearNet (cell nuclei) - Fluorescence,test_11,0.891575287253246,0.891575287253246,0.9829861848501664,0.9892017915209522,0.99852365170232,0.9031836898664256,0.9031836898664256,0.9031836898664256,0.9576177563523148,1.0,422.0,217.0,55,217,0.4589134568855006,0.02848265147591921,0.889344262295082,8.625241953969319,0.05320586475540082
12,DREEM,Lysosomes - Airyscan Confocal,11-2.,0.6724888054786534,0.6724888054786534,0.9646480497788243,0.9974276701460812,0.9992537313432835,0.6206467661691543,0.6206467661691543,0.6206467661691543,0.9900497512437813,1.0,32.0,18.0,500,18,0.16635184351945392,0.2589331952356292,0.07377049180327869,8.625241953969319,0.019286629222372034
13,DREEM,Lysosomes - Airyscan Confocal,7-2.,0.985603018602316,0.985603018602316,1.0,0.9988416708897416,1.0,0.9867109634551496,0.9867109634551496,0.9867109634551496,0.9933554817275748,1.0,4.0,5.0,200,5,0.0620325406864701,0.10357327809425168,0.020491803278688523,8.625241953969319,0.007191976876419432
14,DREEM,Lysosomes - Airyscan Confocal,8-1.,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,3.0,250,3,0.07088083979251386,0.1294665976178146,0.012295081967213115,8.625241953969319,0.00821783784974225
15,DREEM,Lysosomes - Airyscan Confocal,8-2.,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,3.0,250,3,0.07088083979251386,0.1294665976178146,0.012295081967213115,8.625241953969319,0.00821783784974225
16,DREEM,Lysosomes - Airyscan Confocal,8-3.,,,,,,1.0,1.0,1.0,1.0,1.0,0.0,2.0,250,2,0.068831659464645,0.1294665976178146,0.00819672131147541,8.625241953969319,0.00798025838950162
17,DREEM,Lysosomes - Airyscan Confocal,9-1.,0.815583624589432,0.815583624589432,0.992774104308641,0.9979040472846932,0.9989903846153846,0.7985645933014354,0.7985645933014354,0.7985645933014354,0.9913875598086124,1.0,18.0,22.0,500,22,0.17454856483092934,0.2589331952356292,0.09016393442622951,8.625241953969319,0.020236947063334548
18,DREEM,Lysosomes - Airyscan Confocal,9-2.,0.9606666378755678,0.9606666378755678,0.9995359644920028,0.9998115873763542,1.0,0.9571614019904804,0.9571614019904804,0.9571614019904804,0.9987018606663782,1.0,3.0,14.0,500,14,0.15815512220797853,0.2589331952356292,0.05737704918032787,8.625241953969319,0.018336311381409523
19,DREEM,MOTChallenge - DIC,A-10-run03,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,6.0,1891,6,0.501937754157788,0.9792853443811497,0.02459016393442623,8.625241953969319,0.05819404914511381
20,DREEM,MOTChallenge - DIC,A-10-run05,0.9459883896951752,0.9459883896951752,1.0,0.9999872874622596,1.0,0.9185791550942844,0.9185791550942844,0.9185791550942844,1.0,1.0,0.0,6.0,1571,6,0.41907913168238664,0.813568099430347,0.02459016393442623,8.625241953969319,0.04858752182476774
21,DREEM,MOTChallenge - DIC,BPAE-run03,0.9742291642650028,0.9742291642650028,0.9999898963215628,0.9999821229582928,1.0,0.9617308482938194,0.9617308482938194,0.9617308482938194,0.9999314786898724,1.0,2.0,24.0,1803,24,0.516036878878692,0.9337131020196789,0.09836065573770492,8.625241953969319,0.059828684416349955
22,DREEM,MOTChallenge - DIC,BPAE-run05,0.9419767483504748,0.9419767483504748,0.9999903353815882,0.9999790987375636,1.0,0.9216534486902188,0.9216534486902188,0.9216534486902188,1.0,1.0,0.0,10.0,1775,10,0.4800982248219304,0.9192128430864837,0.040983606557377046,8.625241953969319,0.05566200083245087
23,DREEM,MOTChallenge - DIC,CRE-BAG2-run01,0.8425810187066085,0.8425810187066085,0.995447745057754,0.9985579191058092,0.9992125376360688,0.7937929437196016,0.7937929437196016,0.7937929437196016,0.99795414189763,1.0,53.0,57.0,1931,57,0.6168032786885246,1.0,0.2336065573770492,8.625241953969319,0.07151141753242911
24,DREEM,MOTChallenge - DIC,OK-run01,0.9038586852849462,0.9038586852849462,0.9989752482285312,0.9988810606002144,0.999680624556423,0.8811213626685592,0.8811213626685592,0.8811213626685592,0.995800804352969,1.0,71.0,41.0,1200,41,0.39473622772537803,0.6214396685655101,0.1680327868852459,8.625241953969319,0.04576523532116351
25,DREEM,MOTChallenge - DIC,PL1Ut-run01,0.920536615313388,0.920536615313388,0.9939425933442404,0.9981896073450216,0.9987338129496404,0.894484412470024,0.894484412470024,0.894484412470024,0.9996163069544364,1.0,4.0,16.0,1731,16,0.4810002461987758,0.8964267219057483,0.06557377049180328,8.625241953969319,0.055766580087347056
26,DREEM,Mouse C2C12 - Phase Contrast,090303-C2C12P15-FGF2-exp1_F0003,0.6075381413320979,0.6075381413320979,0.957106214667915,0.9920862231247296,0.9966101694915256,0.4616128782601966,0.4615950160585071,0.4615950160585071,0.9791819835158456,1.0,538.0,154.0,1013,154,0.5778730972654957,0.5245986535473848,0.6311475409836066,8.625241953969319,0.06699789992552728
27,DREEM,Mouse C2C12 - Phase Contrast,090303-C2C12P15-FGF2-exp1_F0005,0.6368268478426674,0.6368268478426674,0.9847015496862924,0.996231702287532,0.9990132433134252,0.4974032718774344,0.4974032718774344,0.4974032718774344,0.984722582878906,1.0,353.0,143.0,1013,143,0.5553321136589383,0.5245986535473848,0.5860655737704918,8.625241953969319,0.06438452586288036
28,DREEM,Mouse C2C12 - Phase Contrast,090318-C2C12P7-FGF2-exp1_F0005,0.6666332611975181,0.6666332611975181,0.98393551060542,0.9953952971004242,0.9977242302543508,0.5584241728820042,0.5582818176024472,0.5582818176024472,0.9905678414377668,1.0,148.0,99.0,1063,99,0.47811483899449025,0.5504919730709477,0.4057377049180328,8.625241953969319,0.05543204950609679
29,DREEM,Mouse C2C12 - Phase Contrast,090318-C2C12P7-FGF2-exp1_F0006,0.6519304000882646,0.6519304000882646,0.9909760237250846,0.99852915220333,0.999450688751796,0.502239499704217,0.502239499704217,0.502239499704217,0.9967041325107748,1.0,39.0,69.0,1063,69,0.41663942915842467,0.5504919730709477,0.2827868852459016,8.625241953969319,0.04830466569887794
30,Trackastra,DynamicNuclearNet (cell nuclei) - Fluorescence,test_00,0.9349685707839196,0.9630593941915808,1.0,0.9978736474034872,1.0,0.987378640776699,0.987378640776699,0.987378640776699,0.9970873786407768,1.0,3.0,33.0,42,33,0.07849814501956856,0.021750388399792854,0.13524590163934427,8.556410294504673,0.009174191315952176
31,Trackastra,DynamicNuclearNet (cell nuclei) - Fluorescence,test_01,0.9181895370861152,0.919390685444442,1.0,0.9972321241350388,1.0,0.9891794409377818,0.9891794409377818,0.9891794409377818,0.9954914337240758,1.0,5.0,29.0,42,29,0.07030142370809314,0.021750388399792854,0.11885245901639344,8.556410294504673,0.008216228685672542
32,Trackastra,DynamicNuclearNet (cell nuclei) - Fluorescence,test_02,0.910879746299577,0.9360012232975232,1.0,0.9966838293044769,1.0,0.9665409990574928,0.9665409990574928,0.9665409990574928,0.9957587181903864,1.0,9.0,65.0,42,65,0.14407191551137186,0.021750388399792854,0.26639344262295084,8.556410294504673,0.016837892358189225
33,Trackastra,DynamicNuclearNet (cell nuclei) - Fluorescence,test_03,0.936216196007854,0.934043774737886,1.0,0.9982946240051972,1.0,0.9833333333333332,0.9833333333333332,0.9833333333333332,0.9925925925925926,1.0,4.0,18.0,42,18,0.04776044010153577,0.021750388399792854,0.07377049180327869,8.556410294504673,0.005581831452403557
34,Trackastra,DynamicNuclearNet (cell nuclei) - Fluorescence,test_04,0.9376254532168616,0.9416743924362532,1.0,0.998171961674231,1.0,0.981741573033708,0.981741573033708,0.981741573033708,0.9985955056179776,1.0,1.0,22.0,42,22,0.055957161413011186,0.021750388399792854,0.09016393442622951,8.556410294504673,0.00653979408268319
35,Trackastra,DynamicNuclearNet (cell nuclei) - Fluorescence,test_05,0.9944455528946556,0.9947004636299708,1.0,0.9985161203291516,1.0,0.7783375314861462,0.7783375314861462,0.7783375314861462,0.9093198992443324,1.0,36.0,14.0,50,14,0.041635184351945395,0.02589331952356292,0.05737704918032787,8.556410294504673,0.004865963987103968
36,Trackastra,DynamicNuclearNet (cell nuclei) - Fluorescence,test_06,0.9405875030874844,0.9470446948340556,1.0,0.9987091222030982,1.0,0.6699029126213593,0.6699029126213593,0.6699029126213593,0.883495145631068,1.0,24.0,7.0,50,7,0.027290922056863426,0.02589331952356292,0.028688524590163935,8.556410294504673,0.0031895293841146134
37,Trackastra,DynamicNuclearNet (cell nuclei) - Fluorescence,test_07,0.9335943421874366,0.990175146812455,1.0,0.9992928291147428,1.0,0.9632120253164556,0.9632120253164556,0.9632120253164556,0.997626582278481,1.0,12.0,107.0,71,107,0.23764655194369688,0.03676851372345935,0.4385245901639344,8.556410294504673,0.027774094949178
38,Trackastra,DynamicNuclearNet (cell nuclei) - Fluorescence,test_08,0.610090506219113,0.6221731168011787,1.0,0.9841245177882556,1.0,0.8495920283052928,0.8431386599785023,0.8431386599785023,0.9681117878896452,1.0,445.0,244.0,71,244,0.5183842568617296,0.03676851372345935,1.0,8.556410294504673,0.06058431503625536
39,Trackastra,DynamicNuclearNet (cell nuclei) - Fluorescence,test_09,0.7866630460644547,0.842258143637354,1.0,0.9925000799565036,1.0,0.8357951482479784,0.8357050452781372,0.8357050452781372,0.977576541612764,1.0,208.0,225.0,65,225,0.4778962314608077,0.033661315380631794,0.9221311475409836,8.556410294504673,0.05585242116869209
40,Trackastra,DynamicNuclearNet (cell nuclei) - Fluorescence,test_10,0.8590254066451211,0.8744180272612209,1.0,0.994031332477784,1.0,0.9018867924528302,0.9018867924528302,0.9018867924528302,0.9833962264150944,1.0,66.0,120.0,45,120,0.2575536331298656,0.02330398757120663,0.4918032786885246,8.556410294504673,0.03010066421140167
41,Trackastra,DynamicNuclearNet (cell nuclei) - Fluorescence,test_11,0.8401297613404646,0.8373872052863185,1.0,0.9897808041089904,1.0,0.816628129084146,0.8158079742894446,0.8158079742894446,0.9570151652104048,1.0,428.0,217.0,55,217,0.4589134568855006,0.02848265147591921,0.889344262295082,8.556410294504673,0.05363387695190778
42,Trackastra,Lysosomes - Airyscan Confocal,11-2.,0.7211450926037892,0.6963957058070442,1.0,0.9988356822766472,1.0,0.6023646546359677,0.6019900497512438,0.6019900497512438,0.98818407960199,1.0,38.0,18.0,500,18,0.16635184351945392,0.2589331952356292,0.07377049180327869,8.556410294504673,0.019441779647510926
43,Trackastra,Lysosomes - Airyscan Confocal,7-2.,0.9108624068948756,0.7187638341973651,1.0,0.9963802215304424,1.0,0.6073211314475874,0.606312292358804,0.606312292358804,0.9750830564784052,1.0,15.0,5.0,200,5,0.0620325406864701,0.10357327809425168,0.020491803278688523,8.556410294504673,0.007249832412350574
44,Trackastra,Lysosomes - Airyscan Confocal,8-1.,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,3.0,250,3,0.07088083979251386,0.1294665976178146,0.012295081967213115,8.556410294504673,0.008283945878336018
45,Trackastra,Lysosomes - Airyscan Confocal,8-2.,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,3.0,250,3,0.07088083979251386,0.1294665976178146,0.012295081967213115,8.556410294504673,0.008283945878336018
46,Trackastra,Lysosomes - Airyscan Confocal,9-1.,0.7724571627356247,0.7389299215080177,1.0,0.9979669258661524,1.0,0.652005799903335,0.6485576923076923,0.6485576923076923,0.9822115384615384,1.0,37.0,21.0,500,22,0.17454856483092934,0.2589331952356292,0.09016393442622951,8.556410294504673,0.02039974227779056
47,Trackastra,Lysosomes - Airyscan Confocal,9-2.,0.8406417772237198,0.8561940951544101,1.0,0.9992275082430524,1.0,0.8152315015144959,0.8152315015144959,0.8152315015144959,0.99048031155344,1.0,22.0,14.0,500,14,0.15815512220797853,0.2589331952356292,0.05737704918032787,8.556410294504673,0.0184838170172313
48,Trackastra,MOTChallenge - DIC,A-10-run03,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,6.0,1891,6,0.501937754157788,0.9792853443811497,0.02459016393442623,8.556410294504673,0.05866218856757674
49,Trackastra,MOTChallenge - DIC,A-10-run05,0.9041376620475544,1.0,1.0,0.9999745190470124,1.0,1.0,1.0,1.0,1.0,1.0,0.0,6.0,1571,6,0.41907913168238664,0.813568099430347,0.02459016393442623,8.556410294504673,0.04897838196837509
50,Trackastra,MOTChallenge - DIC,BPAE-run03,0.9784171079836104,1.0,1.0,0.9999940409860976,1.0,1.0,1.0,1.0,1.0,1.0,0.0,24.0,1803,24,0.516036878878692,0.9337131020196789,0.09836065573770492,8.556410294504673,0.060309973589054634
51,Trackastra,MOTChallenge - DIC,BPAE-run05,0.9028047211616768,1.0,1.0,0.9999581974751276,1.0,1.0,1.0,1.0,1.0,1.0,0.0,10.0,1775,10,0.4800982248219304,0.9192128430864837,0.040983606557377046,8.556410294504673,0.056109771305645775
52,Trackastra,MOTChallenge - DIC,CRE-BAG2-run01,0.8736317096657387,0.989659584058597,1.0,0.9999261332254432,1.0,0.9879639304926662,0.9854087856095112,0.9854087856095112,0.9993823824596618,1.0,16.0,57.0,1931,57,0.6168032786885246,1.0,0.2336065573770492,8.556410294504673,0.07208668792854224
53,Trackastra,MOTChallenge - DIC,OK-run01,0.9145942569657882,0.9659353037141156,1.0,0.9999331208634612,1.0,0.945864394746184,0.945528743789922,0.945528743789922,0.9998225691980128,1.0,3.0,41.0,1200,41,0.39473622772537803,0.6214396685655101,0.1680327868852459,8.556410294504673,0.04613339170737244
54,Trackastra,MOTChallenge - DIC,PL1Ut-run01,0.8991527084967663,0.9683707811820502,1.0,0.999958237802306,1.0,0.9448335412069462,0.944652278177458,0.944652278177458,0.9996163069544364,1.0,4.0,16.0,1731,16,0.4810002461987758,0.8964267219057483,0.06557377049180328,8.556410294504673,0.05621519184367499
55,Trackastra,Mouse C2C12 - Phase Contrast,090303-C2C12P15-FGF2-exp1_F0003,0.487452084187645,0.9612881387080552,1.0,0.9994729761357533,1.0,0.9363062260276628,0.9351468482761288,0.9351468482761288,0.9989165344580736,1.0,28.0,154.0,1013,154,0.5778730972654957,0.5245986535473848,0.6311475409836066,8.556410294504673,0.06753686153136355
56,Trackastra,Mouse C2C12 - Phase Contrast,090303-C2C12P15-FGF2-exp1_F0005,0.4739547705568431,0.9872414136361112,1.0,0.9994463370677332,1.0,0.9779077322936972,0.9770189561152948,0.9770189561152948,0.9992209815632304,1.0,18.0,143.0,1013,143,0.5553321136589383,0.5245986535473848,0.5860655737704918,8.556410294504673,0.06490246429809457
57,Trackastra,Mouse C2C12 - Phase Contrast,090318-C2C12P7-FGF2-exp1_F0005,0.5277505122075407,0.9679621618197924,1.0,0.999442442600714,1.0,0.9497445721583652,0.9478682047033332,0.9478682047033332,0.998151806768211,1.0,29.0,99.0,1063,99,0.47811483899449025,0.5504919730709477,0.4057377049180328,8.556410294504673,0.05587797014614388
58,Trackastra,Mouse C2C12 - Phase Contrast,090318-C2C12P7-FGF2-exp1_F0006,0.5549989944947933,0.972442437580518,1.0,0.9994447549567572,1.0,0.9640713500718572,0.9637454576185244,0.9637454576185244,0.9993239246175948,1.0,8.0,69.0,1063,69,0.41663942915842467,0.5504919730709477,0.2827868852459016,8.556410294504673,0.048693250419046645
59,Trackmate,DynamicNuclearNet (cell nuclei) - Fluorescence,test_00,0.7961991218642072,0.7961991218642072,0.727981551941806,0.7689796956466449,0.7871844660194175,0.9696601941747572,0.7757281553398059,0.7757281553398059,0.99126213592233,1.0,9.0,33.0,42,33,0.07849814501956856,0.021750388399792854,0.13524590163934427,8.625241953969319,0.009100978898736154
