,id,frame_id,oid,hid,score_vs_top_post,switch,score_vs_top_pre,diff_vs_top
99,group1.centroids_sample_1_17032_18532,942,6,1,-4.8692856,False,0.0,-4.8692856
100,group1.centroids_sample_1_17032_18532,942,9,8,-5.750978,False,0.6338284,-6.3848066
101,group1.centroids_sample_1_17032_18532,1351,2,1,-4.6033516,False,0.0,-4.6033516
102,group1.centroids_sample_1_17032_18532,1351,6,2,-4.2914824,False,5.0111213,-9.302604
103,group1.centroids_sample_1_17032_18532,1352,2,2,-1.9458966,False,2.020071,-3.9659677
104,group1.centroids_sample_1_17032_18532,1352,6,1,-6.368881,False,2.4677377,-8.836618
105,group1.centroids_sample_1_17032_18532,1353,2,1,-4.7697315,False,0.0,-4.7697315
106,group1.centroids_sample_1_17032_18532,1353,6,2,-4.289343,False,4.3852105,-8.674553
107,group1.centroids_sample_1_17032_18532,1354,2,2,-1.9644485,False,1.4785349,-3.4429834
108,group1.centroids_sample_1_17032_18532,1354,6,1,-6.3805475,False,2.58314,-8.963688
109,group1.centroids_sample_1_17032_18532,1355,2,1,-4.7986546,False,0.0,-4.7986546
110,group1.centroids_sample_1_17032_18532,1355,6,2,-3.843799,False,4.19024,-8.034039
111,group1.centroids_sample_1_17032_18532,1361,2,2,-1.5578886,False,0.44768882,-2.0055776
112,group1.centroids_sample_1_17032_18532,1361,6,1,-5.521123,False,3.0709116,-8.592034
113,group1.centroids_sample_1_17032_18532,1363,2,1,-4.6357746,False,0.7179401,-5.353715
114,group1.centroids_sample_1_17032_18532,1363,6,2,-2.2245948,False,2.4318,-4.656395
115,group1.centroids_sample_1_17032_18532,1364,2,2,-0.35532546,False,0.0,-0.35532546
116,group1.centroids_sample_1_17032_18532,1364,6,1,-5.001295,False,2.9028153,-7.9041104
117,group1.centroids_sample_1_6952_8452,1,0,6,-1.0529745,False,0.7862466,-1.839221
118,group1.centroids_sample_1_6952_8452,1,6,7,-0.6868713,False,0.21230395,-0.8991752
119,group1.centroids_sample_1_6952_8452,1,7,0,-0.5414534,False,0.20249468,-0.7439481
120,group1.centroids_sample_1_6952_8452,2,0,7,-1.8927584,False,1.6448374,-3.5375957
121,group1.centroids_sample_1_6952_8452,2,6,6,0.0,False,0.19712317,-0.19712317
122,group1.centroids_sample_1_6952_8452,3,0,6,-3.1366668,False,2.3237557,-5.4604225
123,group1.centroids_sample_1_6952_8452,3,6,7,-0.77560574,False,0.4388748,-1.2144805
124,group1.centroids_sample_1_6952_8452,4,0,7,-3.702076,False,3.0963628,-6.798439
125,group1.centroids_sample_1_6952_8452,4,6,6,0.0,False,0.5771278,-0.5771278
126,group1.centroids_sample_1_6952_8452,7,0,6,-7.1302357,False,5.341868,-12.472103
127,group1.centroids_sample_1_6952_8452,7,6,7,-0.64245963,False,0.9757639,-1.6182235
128,group1.centroids_sample_1_6952_8452,8,0,7,-7.414056,False,5.7605696,-13.174625
129,group1.centroids_sample_1_6952_8452,8,6,6,0.0,False,1.5848519,-1.5848519
130,group1.centroids_sample_1_6952_8452,10,0,6,-8.18338,False,6.236622,-14.420002
131,group1.centroids_sample_1_6952_8452,10,6,7,-0.67224574,False,1.3710586,-2.0433044
132,group1.centroids_sample_1_6952_8452,13,0,7,-7.689765,False,6.1924095,-13.8821745
133,group1.centroids_sample_1_6952_8452,13,6,6,-0.04164487,False,2.2673874,-2.3090322
134,group1.centroids_sample_1_6952_8452,16,0,6,-8.58859,False,6.6536274,-15.242217
135,group1.centroids_sample_1_6952_8452,16,6,7,-0.9277292,False,2.2584453,-3.1861744
136,group1.centroids_sample_1_6952_8452,18,0,4,0.0,False,0.0,0.0
137,group1.centroids_sample_1_6952_8452,18,4,6,-12.997726,False,5.971838,-18.969564
138,group1.centroids_sample_1_6952_8452,61,0,7,-5.701645,False,4.8725276,-10.574173
139,group1.centroids_sample_1_6952_8452,61,6,0,-0.5691092,False,1.5833505,-2.1524596
140,group1.centroids_sample_1_6952_8452,61,7,9,-1.9032414,False,2.8685377,-4.771779
141,group1.centroids_sample_1_6952_8452,61,9,4,-0.12961698,False,0.2656622,-0.39527917
142,group1.centroids_sample_1_6952_8452,68,0,0,-2.7793932,False,5.8033934,-8.582787
143,group1.centroids_sample_1_6952_8452,68,6,9,-1.7733676,False,1.4488611,-3.2222288
144,group1.centroids_sample_1_6952_8452,68,7,4,0.0,False,2.715685,-2.715685
145,group1.centroids_sample_1_6952_8452,68,9,7,-4.5218263,False,2.0971632,-6.6189895
146,group1.centroids_sample_1_6952_8452,582,4,9,-4.0553894,False,2.8313522,-6.8867416
147,group1.centroids_sample_1_6952_8452,582,6,6,-1.4937794,False,0.0,-1.4937794
148,group1.centroids_sample_1_6952_8452,586,4,6,-0.65449524,True,2.1918592,-2.8463545
