video_path,track_name,x,y,condition,x(µm),y(µm),t(s),frames,total_distance,net_displacement,frame,is_moving,confinement_ratio,count,mean,std,min,25%,50%,75%,max
banana,5,591.0,37.0,cmt,32.57962121212121,2.038775510204082,323.0526,499,11.177993754372475,1.1628851921583199,summary,True,0.10403344443661335,186.0,0.07085994642825,0.0529730302149822,0.0,0.03858306565614185,0.08511282177375025,0.08515023575265429,0.2554507072579325
banana,6,362.0,41.0,cmt,19.955707070707067,2.259183673469388,301.6884,466,0.6649770003725957,0.2810851395584944,summary,False,0.42269903981791634,10.0,0.017201832588123484,0.024394086126953103,0.005472462066781187,0.005911065263992307,0.00800349916595123,0.013684859317389554,0.08511282177375128
blueberry,1,763.0,105.0,wt,42.061338383838375,5.790909090909091,323.0526,499,18.37211253210233,0.0779781665252988,summary,False,0.004244376708941033,465.0,0.05923277619578616,0.05048545516435266,0.0,0.0,0.08515023575264424,0.08518924181574658,0.2554507072579463
blueberry,2,596.0,60.0,wt,32.855252525252524,3.309090909090909,323.0526,499,20.127396967479655,1.0984286369572214,summary,True,0.054573804984915854,397.0,0.06870626800870953,0.05494301109334776,0.0,0.0,0.08515023575264144,0.0851892418157482,0.35109287845361326
blueberry,3,161.0,46.0,wt,8.875328282828281,2.536969696969697,323.0526,499,18.870850990920765,0.28109484236107923,summary,False,0.01489571628202252,498.0,0.05841054023836504,0.05405642891893669,0.0,0.0,0.08515023575264372,0.08518924181574726,0.30705682132652057
blueberry,4,180.0,46.0,wt,9.922727272727272,2.536969696969697,317.226,490,11.707241132258417,0.9372415499277262,summary,True,0.08005656835283148,230.0,0.05937711521242364,0.05601779172465697,0.0,0.0,0.08515023575264324,0.08518924181574726,0.2692810256214177
blueberry,5,527.0,72.0,wt,29.051540404040402,3.9709090909090907,146.3124,226,9.293094106119346,7.848501346946508,summary,True,0.8445520143585333,46.0,0.2511722337834659,0.20071753639793274,0.0,0.1204482028503229,0.1904191626808294,0.29761287240024525,0.855753160551718
blueberry,6,458.0,49.0,wt,25.24782828282828,2.7024242424242426,174.1506,269,11.74675354631902,2.02710264935079,summary,True,0.17256705364232366,131.0,0.11828533011905362,0.12428077233725003,0.0,0.02983970655987602,0.08515023575264692,0.17030047150529018,0.602108608731811
blueberry,7,479.0,56.0,wt,26.405479797979797,3.0884848484848484,323.0526,499,23.17223896149932,3.8531186401770823,summary,True,0.1662816720723034,452.0,0.07526994120278853,0.07314227330892271,0.0,0.0,0.08515023575264599,0.1204482028503222,0.43419036509281145
blueberry,8,392.0,36.0,wt,21.609494949494945,1.9854545454545454,316.5786,489,16.4417633203538,4.4771823824255215,summary,True,0.272305487872038,424.0,0.05726067839017593,0.05370492207026388,0.0,0.0,0.08515023575264599,0.08518924181574726,0.2554507072579325
